,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
24,Breve Cafe,Cafe, 4.4 stars ,"Shop No.12, Pearl Haven Apartments, Chapel Rd, St Sebastian Colony, Mount Mary, Bandra West, Mumbai, Maharashtra 400050","['eazydiner.com', 'drive.google.com']",090825 87137,Open, ⋅ Closes 12 am
25,Backbenchers Cafeteria,Cafe, 4.7 stars ,"Patel Chowk, R.B. Mehta Marg, Pant Nagar, Near Neelyog Square, Ghatkopar East, Mumbai, Maharashtra 400077",[],097021 30632,Open, ⋅ Closes 11 pm
26,Pali Village Café,Restaurant, 4.4 stars ,"10, Pali Mala Rd, Adarsh Nagar, Bandra West, Mumbai, Maharashtra 400050",['swiggy.com'],097021 30632,Open, ⋅ Closes 12 am
27,Pair A Dice Cafe,Cafe, 4.2 stars ,"1st Floor, Link Plaza Commercial Complex, 53, above Fire Bowl Restaurant, Andheri West, Mumbai, Maharashtra 400102","['dineout.co.in', 'swiggy.com']",097021 30632,Closed, ⋅ Opens 12 pm
28,The Homemade Cafe,Cafe, 4.3 stars ,"Shop No. 4, 41, kaveri Building, Near, Oshiwara Police Station Rd, Anand Nagar, Andheri West, Mumbai, Maharashtra 400102",['swiggy.com'],070458 94299,Closed, ⋅ Opens 12 pm
29,Ohh My Dog Cafe Pefe World's 1st Dog Cafe,Dog cafe, 4.5 stars ,"Pratisthan Bunglow,Yamuna Nagar, Back Road, opp. Fairy Land School, beside RNA Eclat, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053","['swiggy.com', 'cafepefe.com']",070458 94299,Unavailable,Unavailable
30,The C Spot Cafe,Cafe, 4.7 stars ,"Shop No . 3 Vaibhav Palace CHS, New Link Rd, Oshiwara, Andheri West, Mumbai, Maharashtra 400102","['swiggy.com', 'thecspotcafe.com']",070458 94299,Open, ⋅ Closes 1:30 am
31,The Origin Cafe,Coffee shop, 4.9 stars ,"352, Off Linking Rd, Khar, Khar West, Mumbai, Maharashtra 400052","['swiggy.com', 'bawahotels.com', 'bawahotels.com']",085917 20926,Open, ⋅ Closes 10 pm
32,Beat House Cafe,Cafe, 4.2 stars ,"Hotel Sapna Marine,1st, Marine Ln, Dhobi Talao, Marine Lines, Mumbai, Maharashtra 400002",[],085917 20926,Unavailable,Unavailable
33,August Cafe,Cafe, 4.3 stars ,"A-3, Sastri Nagar Rd, Sundervan Complex, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053","['swiggy.com', 'zomato.com', 'augustcafe.in']",085917 20926,Open, ⋅ Closes 12 am
34,Aromas Café & Bistro,Cafe, 4.2 stars ,"Ventura Building, G6, Central Ave, opposite DMart, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",['swiggy.com'],082911 66739,Open, ⋅ Closes 12 am
35,Silver Beach Cafe,Cafe, 4.2 stars ,"Jal Darshan Building, 94/6, Shri GB Jukar Marg, beside Juhu Tara, Jukarwadi, Juhu, Mumbai, Maharashtra 400049","['dineout.co.in', 'swiggy.com', 'facebook.com']",082911 66739,Open, ⋅ Closes 12 am
36,Mish Cafe,Coffee shop, 4.9 stars ,"shop no 9, Hinduja College, Mehta bhavan, lane, Raja Ram Mohan Roy Rd, Mumbai, Maharashtra 400004","['swiggy.com', 'drive.google.com']",082911 66739,Closed, ⋅ Opens 12 pm
37,Brakefree Cafe,Cafe, 4.3 stars ,"Title Waves, St Paul Media Complex, ST. PAUL'S INSTITUTE OF COMMUNICATION EDUCATION, Rd Number 24, opp. Duruelo Convent School, Bandra West, Mumbai, Maharashtra 400050","['eazydiner.com', 'swiggy.com', 'brakefree.in']",098197 84963,Open, ⋅ Closes 10 pm
